experiment_id,rxn_id,flux,flux_std_error,,
SA04,v1,1.910642051,,,
SA04,v65,1.516190576,,,
SA05,v1,1.220989781,,,
SA05,v65,1.330385187,,1.330385187,
SA06,v1,3.00914336,,,
SA06,v65,1.363337107,,,
SA07,v1,2.145948446,,,
SA07,v65,1.332785649,,,
SA09,v1,4.338849989,,,
SA09,v65,1.275042765,,,
SA10,v1,2.155877326,,,
SA10,v65,1.177018369,,,
SA11,v1,2.962267971,,,
SA11,v65,0.991897076,,,
SA12,v1,1.849486911,,,
SA12,v65,1.307239694,,,
SA13,v1,1.458196154,,,
SA13,v65,1.431032349,,,
SA14,v1,5.263279667,,,
SA14,v65,0.739064,,,
SA15,v1,2.324501185,,,
SA15,v65,1.052431715,,,
SA16,v1,4.368363317,,,
SA16,v65,1.541679106,,,
SA17,v1,2.937956263,,,
SA17,v65,1.074775703,,,
SA18,v1,2.772243427,,,
SA18,v65,1.032671866,,,
SA19,v1,1.779047116,,,
SA19,v65,1.217900029,,,
SA20,v1,2.902583984,,,
SA20,v65,1.650805943,,,
SA21,v1,3.301880665,,,
SA21,v65,1.087395682,,,
SA22,v1,3.487196719,,,
SA22,v65,1.278649661,,,
SA23,v1,2.711682603,,,
SA23,v65,1.083267191,,,
SA26,v1,3.250943451,,,
SA26,v65,1.83091397,,,
SA27,v1,2.985924264,0.01,,
SA27,v65,1.046478548,0.01,,
SA28,v1,3.146679857,,,
SA28,v65,,,1.469402043,
SA29,v1,4.481754821,,,
SA29,v65,,,1.038136355,
SA30,v1,1.52436174,,,
SA30,v65,,,1.216163403,
SA31,v1,4.616835695,,,
SA31,v65,,,1.427458753,
SA32,v1,3.305562124,,,
SA32,v65,,,1.2055311,
SA33,v1,4.028292384,,,
SA33,v65,,,0.990539442,
SA34,v1,2.643374264,,,
SA34,v65,,,1.30403762,
SA35,v1,4.836445543,,,
SA35,v65,,,0.928518151,
SA36,v1,4.220024593,,,
SA36,v65,,,0.750399633,
SA37,v1,4.289493117,,,
SA37,v65,,,0.77217377,
SA38,v1,4.624429647,,,
SA38,v65,,,0.986249155,
SA39,v1,1.454691834,,,
SA39,v65,,,1.846768321,
SA40,v1,3.841261194,,,
SA40,v65,,,1.21477914,
SA41,v1,5.149093194,,,
SA41,v65,,,0.990727311,
SA42,v1,2.771769212,,,
SA42,v65,,,0.74534055,
SA43,v1,6.292488453,,,
SA43,v65,,,1.567243897,
SA44,v1,5.153997745,,,
SA44,v65,,,1.042419274,
SA45,v1,4.118682225,,,
SA45,v65,,,1.019601021,
SA46,v1,3.034860941,,,
SA46,v65,,,1.302883094,
SA47,v1,3.39779762,,,
SA47,v65,,,1.26821088,
SA48,v1,2.036937707,,,
SA48,v65,,,1.553638645,
SA49,v1,4.221728691,,,
SA49,v65,,,1.473626739,
SA50,v1,3.578574612,,,
SA50,v65,,,1.545154195,
SA51,v1,3.7739448,,,
SA51,v65,,,1.815444998,
,v1,,,,
